,location,total_sqft,bath,price,bhk,encoded_loc
0,Electronic City Phase II,1056.0,2.0,39.07,2,66
1,Chikka Tirupathi,2600.0,5.0,120.0,4,51
2,Uttarahalli,1440.0,2.0,62.0,3,197
3,Kothanur,1200.0,2.0,51.0,2,133
4,Whitefield,1170.0,2.0,38.0,2,205
5,Marathahalli,1310.0,3.0,63.25,3,146
6,Whitefield,1800.0,2.0,70.0,3,205
7,7th Phase JP Nagar,1000.0,2.0,38.0,2,5
8,Gottigere,1100.0,2.0,40.0,2,72
9,Bisuvanahalli,1180.0,3.0,48.0,3,42
10,Raja Rajeshwari Nagar,1540.0,3.0,60.0,3,169
11,others,1100.0,2.0,48.0,2,211
12,others,510.0,1.0,25.25,1,211
13,others,1250.0,3.0,56.0,3,211
14,Electronic City,660.0,1.0,23.1,2,65
15,Whitefield,1610.0,3.0,81.0,3,205
16,Ramagondanahalli,1151.0,2.0,48.77,2,171
17,Electronic City,1025.0,2.0,47.0,3,65
18,Yelahanka,3525.0,4.0,186.0,4,207
19,Bisuvanahalli,1075.0,2.0,35.0,3,42
20,Raja Rajeshwari Nagar,1693.0,3.0,57.39,3,169
21,Kanakpura Road,700.0,2.0,36.0,2,115
22,Electronics City Phase 1,1070.0,2.0,45.5,2,67
23,Chikkalasandra,1290.0,2.0,56.12,3,53
24,Uttarahalli,1143.0,2.0,45.0,2,197
25,Sarjapur  Road,1254.0,3.0,38.0,3,177
26,Doddathoguru,970.0,2.0,33.0,2,62
27,others,869.0,2.0,36.0,2,211
28,others,1270.0,2.0,50.0,2,211
29,Whitefield,2010.0,3.0,91.0,3,205
30,Yelahanka,1600.0,2.0,75.0,3,207
31,Begur Road,1200.0,2.0,44.0,2,36
32,Devanahalli,4715.0,2.0,192.0,4,58
33,others,840.0,2.0,45.0,2,211
34,others,4395.0,3.0,240.0,3,211
35,Varthur,1160.0,2.0,44.0,2,198
36,Gunjur,1140.0,2.0,43.0,2,75
37,Marathahalli,1220.0,2.0,57.0,2,146
38,Kanakpura Road,1005.0,2.0,36.68,2,115
39,Kothannur,1206.0,2.0,48.23,2,132
40,Kalena Agrahara,1150.0,2.0,40.0,2,109
41,Hennur Road,4682.0,2.0,224.5,4,85
42,Garudachar Palya,1325.0,2.0,60.8,3,70
43,Kanakpura Road,1665.0,3.0,88.0,3,115
44,Dasanapura,708.0,2.0,37.0,2,56
45,Kasavanhalli,1060.0,2.0,58.06,2,118
46,Electronic City,1000.0,2.0,28.88,2,65
47,others,1450.0,2.0,70.0,3,211
48,Sarjapura - Attibele Road,1330.0,2.0,48.0,3,178
49,others,1200.0,2.0,65.0,2,211
50,Yeshwanthpur,2502.0,3.0,138.0,3,210
51,others,1007.0,2.0,43.0,2,211
52,others,1200.0,2.0,50.0,2,211
53,others,966.0,2.0,49.9,2,211
54,Devanahalli,1260.0,2.0,66.78,2,58
55,others,1413.0,2.0,75.0,3,211
56,Whitefield,1116.0,2.0,51.91,2,205
57,Electronic City,1530.0,2.0,45.9,3,65
58,Kengeri,1540.0,2.0,64.0,3,123
59,Thanisandra,1436.0,3.0,74.75,3,191
60,Devanahalli,1282.0,2.0,68.52,3,58
61,Kadugodi,1050.0,2.0,34.0,2,105
62,LB Shastri Nagar,1600.0,3.0,65.0,3,138
63,Hormavu,1500.0,2.0,78.0,2,89
64,Sarjapur,1600.0,3.0,75.0,3,176
65,Kudlu Gate,1535.0,3.0,83.0,3,135
66,Devanahalli,1360.0,2.0,65.0,2,58
67,8th Phase JP Nagar,1594.5,2.0,54.005,2,6
68,Bommasandra Industrial Area,1280.0,3.0,50.4,3,45
69,Anandapura,1167.0,2.0,43.76,2,13
70,Kengeri Satellite Town,890.0,2.0,35.0,2,124
